date,name,value
 Asthma,Bronchitis,137060.0
 Asthma,Bronchitis,141920.0
 Asthma,Bronchitis,142498.0
 Asthma,Bronchitis,148266.0
 Asthma,Bronchitis,146120.0
 Asthma,Bronchitis,153961.0
 Asthma,Bronchitis,153679.0
 Asthma,Bronchitis,159177.0
1962,Ulcer of Stomach & Duodenum,0.088824
1963,Ulcer of Stomach & Duodenum,0.086822
1964,Ulcer of Stomach & Duodenum,0.077067
1965,Ulcer of Stomach & Duodenum,0.071896
1966,Ulcer of Stomach & Duodenum,0.070062
1967,Ulcer of Stomach & Duodenum,0.065809
1968,Ulcer of Stomach & Duodenum,0.062152
1969,Ulcer of Stomach & Duodenum,0.06039
1970,Ulcer of Stomach & Duodenum,0.054311
1971,Ulcer of Stomach & Duodenum,0.050526999999999996
1972,Ulcer of Stomach & Duodenum,0.048213
1973,Ulcer of Stomach & Duodenum,0.046189999999999995
1974,Ulcer of Stomach & Duodenum,0.041741
1975,Ulcer of Stomach & Duodenum,0.039049
1976,Ulcer of Stomach & Duodenum,0.036516
1977,Ulcer of Stomach & Duodenum,0.033105
1978,Ulcer of Stomach & Duodenum,0.030392000000000002
1979,Ulcer of Stomach & Duodenum,0.032222
1980,Ulcer of Stomach & Duodenum,0.032761
1981,Ulcer of Stomach & Duodenum,0.034043000000000004
1982,Ulcer of Stomach & Duodenum,0.034769
1983,Ulcer of Stomach & Duodenum,0.032213
1984,Ulcer of Stomach & Duodenum,0.032572000000000004
1985,Ulcer of Stomach & Duodenum,0.032431
1986,Ulcer of Stomach & Duodenum,0.030998
1987,Ulcer of Stomach & Duodenum,0.029872000000000003
1988,Ulcer of Stomach & Duodenum,0.029675
1989,Ulcer of Stomach & Duodenum,0.029299000000000002
1990,Ulcer of Stomach & Duodenum,0.027655000000000002
1991,Ulcer of Stomach & Duodenum,0.026602999999999998
1992,Ulcer of Stomach & Duodenum,0.025997000000000003
1993,Ulcer of Stomach & Duodenum,0.024666999999999998
1994,Ulcer of Stomach & Duodenum,0.02471
1995,Ulcer of Stomach & Duodenum,0.021733000000000002
1996,Ulcer of Stomach & Duodenum,0.01986
1997,Ulcer of Stomach & Duodenum,0.019530000000000002
1998,Ulcer of Stomach & Duodenum,0.017568
1999,Ulcer of Stomach & Duodenum,0.01676
2000,Ulcer of Stomach & Duodenum,0.016319999999999998
2001,Ulcer of Stomach & Duodenum,0.01585
2002,Ulcer of Stomach & Duodenum,0.014130000000000002
2003,Ulcer of Stomach & Duodenum,0.01329
2004,Ulcer of Stomach & Duodenum,0.01234
2005,Ulcer of Stomach & Duodenum,0.011479000000000001
2006,Ulcer of Stomach & Duodenum,0.010714
2007,Ulcer of Stomach & Duodenum,0.009567
2008,Ulcer of Stomach & Duodenum,0.009503
2009,Ulcer of Stomach & Duodenum,0.008918
2010,Ulcer of Stomach & Duodenum,0.008844
2011,Ulcer of Stomach & Duodenum,0.008666
2012,Ulcer of Stomach & Duodenum,0.008149
2013,Ulcer of Stomach & Duodenum,0.00822
2014,Ulcer of Stomach & Duodenum,0.008173999999999999
2015,Ulcer of Stomach & Duodenum,0.008031
2016,Ulcer of Stomach & Duodenum,0.008287000000000001
2017,Ulcer of Stomach & Duodenum,0.008451
1962,Cirrhosis of Liver,0.136445
1963,Cirrhosis of Liver,0.138594
1964,Cirrhosis of Liver,0.142285
1965,Cirrhosis of Liver,0.14954800000000001
1966,Cirrhosis of Liver,0.159352
1967,Cirrhosis of Liver,0.16334300000000002
1968,Cirrhosis of Liver,0.169415
1969,Cirrhosis of Liver,0.171402
1970,Cirrhosis of Liver,0.17840799999999998
1971,Cirrhosis of Liver,0.177842
1972,Cirrhosis of Liver,0.180096
1973,Cirrhosis of Liver,0.181259
1974,Cirrhosis of Liver,0.178742
1975,Cirrhosis of Liver,0.16709200000000002
1976,Cirrhosis of Liver,0.164426
1977,Cirrhosis of Liver,0.158598
1978,Cirrhosis of Liver,0.152359
1979,Cirrhosis of Liver,0.14835
1980,Cirrhosis of Liver,0.150756
1981,Cirrhosis of Liver,0.142252
1982,Cirrhosis of Liver,0.131918
1983,Cirrhosis of Liver,0.128121
1984,Cirrhosis of Liver,0.126694
1985,Cirrhosis of Liver,0.122522
1986,Cirrhosis of Liver,0.11797
1987,Cirrhosis of Liver,0.116875
1988,Cirrhosis of Liver,0.11633800000000001
1989,Cirrhosis of Liver,0.11596
1990,Cirrhosis of Liver,0.111002
1991,Cirrhosis of Liver,0.107063
1992,Cirrhosis of Liver,0.10428499999999999
1993,Cirrhosis of Liver,0.10216499999999999
1994,Cirrhosis of Liver,0.101217
